,type,text,freq,font,fontsize,rotation,noise_level,filename,question,question_correct,question_filename,event_id,question_asked
0,symbols,voo^o,,DejaVu Sans,40,15,0.35,symbols_voo^o.png,^ _ _ _ _,False,symbols_voo^o_question.png,30,False
1,word,opaali,12.0,Impact,40,-15,0.5,word_opaali.png,o _ _ _ _ _,True,word_opaali_question.png,10,False
2,consonants,dxfxv,,Impact,20,0,0.5,consonants_dxfxv.png,g _ _ _ _,False,consonants_dxfxv_question.png,20,False
3,symbols,odos,,DejaVu Sans,30,15,0.2,symbols_odos.png,s _ _ _,False,symbols_odos_question.png,30,False
4,word,siitos,12.0,Comic Sans MS,30,-15,0.2,word_siitos.png,i _ _ _ _ _,False,word_siitos_question.png,10,False
5,symbols,d^sd,,DejaVu Sans,20,15,0.2,symbols_d^sd.png,d _ _ _,True,symbols_d^sd_question.png,30,True
6,word,duuri,8.0,Impact,40,15,0.5,word_duuri.png,_ _ _ r _,True,word_duuri_question.png,10,False
7,symbols,d^v^^,,DejaVu Sans,20,-15,0.35,symbols_d^v^^.png,_ ^ _ _ _,True,symbols_d^v^^_question.png,30,False
8,word,lempo,61.0,Times New Roman,20,-15,0.35,word_lempo.png,_ e _ _ _,True,word_lempo_question.png,10,False
9,word,nuha,140.0,Times New Roman,30,-15,0.2,word_nuha.png,_ _ _ u,False,word_nuha_question.png,10,False
10,word,laukka,19.0,Comic Sans MS,20,15,0.5,word_laukka.png,_ _ u _ _ _,True,word_laukka_question.png,10,False
11,word,jakaja,177.0,Comic Sans MS,20,15,0.2,word_jakaja.png,_ x _ _ _ _,False,word_jakaja_question.png,10,True
12,word,räme,50.0,Comic Sans MS,20,0,0.35,word_räme.png,_ i _ _,False,word_räme_question.png,10,False
13,word,kyhmy,97.0,Comic Sans MS,40,0,0.2,word_kyhmy.png,_ _ _ h _,False,word_kyhmy_question.png,10,False
14,symbols,ovo^s,,DejaVu Sans,20,15,0.35,symbols_ovo^s.png,_ d _ _ _,False,symbols_ovo^s_question.png,30,False
15,symbols,vsd^ds,,DejaVu Sans,40,-15,0.2,symbols_vsd^ds.png,_ _ _ o _ _,False,symbols_vsd^ds_question.png,30,False
16,word,huorin,43.0,Times New Roman,30,0,0.5,word_huorin.png,g _ _ _ _ _,False,word_huorin_question.png,10,False
17,word,pidot,128.0,Comic Sans MS,30,15,0.35,word_pidot.png,_ _ d _ _,True,word_pidot_question.png,10,True
18,consonants,jxfm,,Impact,40,15,0.5,consonants_jxfm.png,_ _ l _,False,consonants_jxfm_question.png,20,False
19,consonants,vwrptk,,Comic Sans MS,40,-15,0.5,consonants_vwrptk.png,v _ _ _ _ _,True,consonants_vwrptk_question.png,20,False
20,word,uuhi,17.0,Impact,40,0,0.2,word_uuhi.png,_ _ _ z,False,word_uuhi_question.png,10,False
21,word,akti,34.0,Times New Roman,20,0,0.35,word_akti.png,_ _ t _,True,word_akti_question.png,10,False
22,symbols,sdvdvd,,DejaVu Sans,40,0,0.35,symbols_sdvdvd.png,s _ _ _ _ _,True,symbols_sdvdvd_question.png,30,True
23,word,tämä,575732.0,Comic Sans MS,30,-15,0.35,word_tämä.png,_ ä _ _,True,word_tämä_question.png,10,False
24,consonants,rmmrh,,Impact,30,15,0.2,consonants_rmmrh.png,_ m _ _ _,True,consonants_rmmrh_question.png,20,False
25,word,kussa,7.0,Comic Sans MS,30,0,0.35,word_kussa.png,_ _ _ ü _,False,word_kussa_question.png,10,False
26,word,pamppu,197.0,Comic Sans MS,20,0,0.35,word_pamppu.png,_ _ _ _ q _,False,word_pamppu_question.png,10,True
27,consonants,fbtsr,,Comic Sans MS,30,-15,0.5,consonants_fbtsr.png,_ x _ _ _,False,consonants_fbtsr_question.png,20,False
28,consonants,vtkdtx,,Impact,30,0,0.2,consonants_vtkdtx.png,_ _ h _ _ _,False,consonants_vtkdtx_question.png,20,False
29,consonants,rjfcdx,,Impact,20,15,0.2,consonants_rjfcdx.png,_ _ _ _ x _,False,consonants_rjfcdx_question.png,20,False
30,word,tyköä,13.0,Impact,20,0,0.5,word_tyköä.png,z _ _ _ _,False,word_tyköä_question.png,10,False
31,consonants,lxtgwm,,Impact,40,15,0.35,consonants_lxtgwm.png,_ _ _ _ _ k,False,consonants_lxtgwm_question.png,20,False
32,consonants,jbntmc,,Times New Roman,40,0,0.2,consonants_jbntmc.png,_ _ n _ _ _,True,consonants_jbntmc_question.png,20,False
33,consonants,xkfvmb,,Times New Roman,30,-15,0.35,consonants_xkfvmb.png,_ n _ _ _ _,False,consonants_xkfvmb_question.png,20,False
34,symbols,sovo,,DejaVu Sans,40,0,0.35,symbols_sovo.png,_ _ v _,True,symbols_sovo_question.png,30,False
35,consonants,ltqrr,,Comic Sans MS,20,15,0.5,consonants_ltqrr.png,_ _ _ j _,False,consonants_ltqrr_question.png,20,True
36,consonants,tkcqd,,Impact,20,0,0.2,consonants_tkcqd.png,t _ _ _ _,True,consonants_tkcqd_question.png,20,False
37,consonants,gljt,,Impact,40,0,0.2,consonants_gljt.png,_ _ _ t,True,consonants_gljt_question.png,20,False
38,word,silaus,76.0,Impact,40,15,0.35,word_silaus.png,_ _ _ d _ _,False,word_silaus_question.png,10,True
39,symbols,ovvds,,DejaVu Sans,20,-15,0.35,symbols_ovvds.png,_ v _ _ _,True,symbols_ovvds_question.png,30,False
40,word,lähi,100.0,Comic Sans MS,20,-15,0.5,word_lähi.png,_ _ _ ö,False,word_lähi_question.png,10,False
41,consonants,qgjwzq,,Times New Roman,20,-15,0.5,consonants_qgjwzq.png,w _ _ _ _ _,False,consonants_qgjwzq_question.png,20,False
42,word,pitäen,748.0,Comic Sans MS,20,-15,0.2,word_pitäen.png,_ _ _ a _ _,False,word_pitäen_question.png,10,False
43,word,lotja,18.0,Impact,30,-15,0.5,word_lotja.png,_ s _ _ _,False,word_lotja_question.png,10,False
44,symbols,^so^d,,DejaVu Sans,20,-15,0.5,symbols_^so^d.png,_ s _ _ _,True,symbols_^so^d_question.png,30,True
45,word,kiuas,9.0,Times New Roman,30,15,0.35,word_kiuas.png,_ _ _ _ s,True,word_kiuas_question.png,10,False
46,consonants,tczhj,,Impact,40,-15,0.35,consonants_tczhj.png,_ _ z _ _,True,consonants_tczhj_question.png,20,False
47,word,säie,38.0,Comic Sans MS,30,-15,0.5,word_säie.png,_ z _ _,False,word_säie_question.png,10,False
48,word,ajos,8.0,Impact,30,0,0.2,word_ajos.png,a _ _ _,True,word_ajos_question.png,10,False
49,consonants,grgdd,,Comic Sans MS,20,0,0.35,consonants_grgdd.png,g _ _ _ _,True,consonants_grgdd_question.png,20,False
50,word,jymy,7.0,Comic Sans MS,40,-15,0.35,word_jymy.png,_ _ _ y,True,word_jymy_question.png,10,True
51,word,almu,39.0,Comic Sans MS,40,15,0.5,word_almu.png,a _ _ _,True,word_almu_question.png,10,False
52,consonants,mwgz,,Impact,20,15,0.2,consonants_mwgz.png,_ _ x _,False,consonants_mwgz_question.png,20,False
53,consonants,tcftcg,,Times New Roman,30,15,0.2,consonants_tcftcg.png,_ c _ _ _ _,True,consonants_tcftcg_question.png,20,False
54,consonants,rfclk,,Comic Sans MS,30,0,0.5,consonants_rfclk.png,_ _ _ _ k,True,consonants_rfclk_question.png,20,False
55,consonants,xgtt,,Impact,20,0,0.35,consonants_xgtt.png,_ _ k _,False,consonants_xgtt_question.png,20,False
56,word,oinas,74.0,Comic Sans MS,30,-15,0.2,word_oinas.png,o _ _ _ _,True,word_oinas_question.png,10,False
57,word,pokeri,160.0,Times New Roman,40,-15,0.5,word_pokeri.png,_ _ _ _ _ z,False,word_pokeri_question.png,10,False
58,consonants,wnnz,,Comic Sans MS,20,0,0.2,consonants_wnnz.png,_ n _ _,True,consonants_wnnz_question.png,20,True
59,consonants,xwnh,,Impact,30,15,0.35,consonants_xwnh.png,q _ _ _,False,consonants_xwnh_question.png,20,False
60,symbols,sovssd,,DejaVu Sans,40,0,0.35,symbols_sovssd.png,_ _ d _ _ _,False,symbols_sovssd_question.png,30,False
61,consonants,whpw,,Times New Roman,40,0,0.35,consonants_whpw.png,_ _ p _,True,consonants_whpw_question.png,20,False
62,word,ässä,775.0,Comic Sans MS,20,-15,0.35,word_ässä.png,_ _ _ c,False,word_ässä_question.png,10,False
63,word,näppy,15.0,Impact,30,0,0.5,word_näppy.png,_ _ u _ _,False,word_näppy_question.png,10,True
64,word,fotoni,56.0,Comic Sans MS,30,-15,0.5,word_fotoni.png,e _ _ _ _ _,False,word_fotoni_question.png,10,False
65,symbols,d^dvdd,,DejaVu Sans,30,0,0.2,symbols_d^dvdd.png,_ _ ^ _ _ _,False,symbols_d^dvdd_question.png,30,False
66,consonants,bhsx,,Times New Roman,20,0,0.5,consonants_bhsx.png,r _ _ _,False,consonants_bhsx_question.png,20,False
67,word,sysi,6.0,Impact,20,-15,0.5,word_sysi.png,_ g _ _,False,word_sysi_question.png,10,False
68,symbols,svvssv,,DejaVu Sans,30,0,0.35,symbols_svvssv.png,_ _ _ _ s _,True,symbols_svvssv_question.png,30,False
69,word,uoma,17.0,Comic Sans MS,20,15,0.35,word_uoma.png,_ o _ _,True,word_uoma_question.png,10,False
70,word,psalmi,81.0,Comic Sans MS,30,0,0.5,word_psalmi.png,q _ _ _ _ _,False,word_psalmi_question.png,10,False
71,consonants,fwgntw,,Comic Sans MS,30,-15,0.2,consonants_fwgntw.png,_ w _ _ _ _,True,consonants_fwgntw_question.png,20,True
72,consonants,dwzsrc,,Comic Sans MS,20,15,0.2,consonants_dwzsrc.png,_ _ _ l _ _,False,consonants_dwzsrc_question.png,20,False
73,word,menijä,27.0,Comic Sans MS,20,15,0.2,word_menijä.png,_ _ u _ _ _,False,word_menijä_question.png,10,False
74,word,rukki,10.0,Times New Roman,30,-15,0.2,word_rukki.png,_ _ _ _ i,True,word_rukki_question.png,10,False
75,symbols,s^od,,DejaVu Sans,40,-15,0.35,symbols_s^od.png,_ _ o _,True,symbols_s^od_question.png,30,False
76,word,nirso,270.0,Impact,40,15,0.2,word_nirso.png,_ d _ _ _,False,word_nirso_question.png,10,True
77,symbols,sdosd,,DejaVu Sans,20,15,0.35,symbols_sdosd.png,_ d _ _ _,True,symbols_sdosd_question.png,30,False
78,symbols,osvs^d,,DejaVu Sans,40,0,0.5,symbols_osvs^d.png,_ ^ _ _ _ _,False,symbols_osvs^d_question.png,30,False
79,word,tyrä,65.0,Comic Sans MS,30,0,0.2,word_tyrä.png,u _ _ _,False,word_tyrä_question.png,10,False
80,consonants,dqkcl,,Impact,30,15,0.5,consonants_dqkcl.png,_ q _ _ _,True,consonants_dqkcl_question.png,20,False
81,symbols,^s^s,,DejaVu Sans,30,0,0.2,symbols_^s^s.png,^ _ _ _,True,symbols_^s^s_question.png,30,True
82,symbols,dvsv,,DejaVu Sans,40,0,0.2,symbols_dvsv.png,_ _ d _,False,symbols_dvsv_question.png,30,False
83,consonants,qpvbs,,Impact,20,-15,0.2,consonants_qpvbs.png,_ p _ _ _,True,consonants_qpvbs_question.png,20,False
84,consonants,rwfcq,,Impact,20,15,0.5,consonants_rwfcq.png,_ _ x _ _,False,consonants_rwfcq_question.png,20,False
85,word,iäti,265.0,Impact,30,0,0.35,word_iäti.png,_ _ _ i,True,word_iäti_question.png,10,False
86,word,vipu,167.0,Impact,30,-15,0.5,word_vipu.png,_ _ p _,True,word_vipu_question.png,10,False
87,word,odote,20.0,Comic Sans MS,20,0,0.5,word_odote.png,_ _ _ _ j,False,word_odote_question.png,10,False
88,symbols,dsdoo^,,DejaVu Sans,30,0,0.5,symbols_dsdoo^.png,_ _ _ v _ _,False,symbols_dsdoo^_question.png,30,False
89,consonants,tcfwdr,,Comic Sans MS,20,-15,0.35,consonants_tcfwdr.png,_ c _ _ _ _,True,consonants_tcfwdr_question.png,20,True
90,consonants,czkdbs,,Comic Sans MS,40,0,0.5,consonants_czkdbs.png,c _ _ _ _ _,True,consonants_czkdbs_question.png,20,False
91,symbols,vs^vds,,DejaVu Sans,40,15,0.35,symbols_vs^vds.png,_ _ _ _ d _,True,symbols_vs^vds_question.png,30,False
92,word,hioa,318.0,Times New Roman,40,0,0.2,word_hioa.png,_ _ p _,False,word_hioa_question.png,10,False
93,word,säle,18.0,Comic Sans MS,30,15,0.2,word_säle.png,_ _ _ v,False,word_säle_question.png,10,False
94,consonants,gthb,,Times New Roman,30,0,0.2,consonants_gthb.png,_ _ _ j,False,consonants_gthb_question.png,20,False
95,symbols,^sodvv,,DejaVu Sans,20,15,0.2,symbols_^sodvv.png,_ _ _ d _ _,True,symbols_^sodvv_question.png,30,True
96,symbols,vs^oo,,DejaVu Sans,20,-15,0.2,symbols_vs^oo.png,v _ _ _ _,True,symbols_vs^oo_question.png,30,False
97,word,kopio,1837.0,Times New Roman,30,15,0.35,word_kopio.png,_ _ _ _ o,True,word_kopio_question.png,10,False
98,consonants,mxnhh,,Comic Sans MS,30,15,0.2,consonants_mxnhh.png,_ _ _ _ z,False,consonants_mxnhh_question.png,20,True
99,word,kerubi,23.0,Times New Roman,20,15,0.2,word_kerubi.png,_ _ r _ _ _,True,word_kerubi_question.png,10,False
100,word,katodi,6.0,Comic Sans MS,30,-15,0.35,word_katodi.png,_ ü _ _ _ _,False,word_katodi_question.png,10,False
101,symbols,^vvs^s,,DejaVu Sans,40,15,0.2,symbols_^vvs^s.png,^ _ _ _ _ _,True,symbols_^vvs^s_question.png,30,False
102,word,mäntä,66.0,Impact,20,15,0.35,word_mäntä.png,_ ä _ _ _,True,word_mäntä_question.png,10,False
103,consonants,krvvpr,,Impact,40,-15,0.5,consonants_krvvpr.png,_ _ _ _ _ l,False,consonants_krvvpr_question.png,20,False
104,consonants,jdfjs,,Times New Roman,30,0,0.35,consonants_jdfjs.png,z _ _ _ _,False,consonants_jdfjs_question.png,20,False
105,consonants,wcjrjq,,Comic Sans MS,30,0,0.35,consonants_wcjrjq.png,_ _ c _ _ _,False,consonants_wcjrjq_question.png,20,True
106,word,afasia,31.0,Impact,20,-15,0.2,word_afasia.png,_ _ _ _ _ z,False,word_afasia_question.png,10,False
107,word,druidi,116.0,Comic Sans MS,40,-15,0.5,word_druidi.png,_ _ r _ _ _,False,word_druidi_question.png,10,False
108,word,nurja,11.0,Times New Roman,30,-15,0.5,word_nurja.png,_ _ _ _ a,True,word_nurja_question.png,10,False
109,word,viipyä,1043.0,Impact,40,-15,0.5,word_viipyä.png,g _ _ _ _ _,False,word_viipyä_question.png,10,False
110,word,ositus,12.0,Times New Roman,20,-15,0.35,word_ositus.png,ö _ _ _ _ _,False,word_ositus_question.png,10,True
111,symbols,dv^oo,,DejaVu Sans,40,15,0.2,symbols_dv^oo.png,_ _ _ o _,True,symbols_dv^oo_question.png,30,False
112,consonants,bzhkd,,Times New Roman,30,-15,0.5,consonants_bzhkd.png,_ l _ _ _,False,consonants_bzhkd_question.png,20,False
113,word,känsä,12.0,Impact,30,-15,0.35,word_känsä.png,a _ _ _ _,False,word_känsä_question.png,10,False
114,word,kyteä,8.0,Impact,40,15,0.2,word_kyteä.png,_ _ _ _ ä,True,word_kyteä_question.png,10,False
115,word,fuksi,142.0,Impact,40,-15,0.35,word_fuksi.png,_ _ _ z _,False,word_fuksi_question.png,10,False
116,symbols,oo^vdv,,DejaVu Sans,40,-15,0.35,symbols_oo^vdv.png,o _ _ _ _ _,True,symbols_oo^vdv_question.png,30,False
117,consonants,ksrwvk,,Comic Sans MS,40,-15,0.35,consonants_ksrwvk.png,_ _ _ _ _ z,False,consonants_ksrwvk_question.png,20,False
118,symbols,dovv^,,DejaVu Sans,40,15,0.5,symbols_dovv^.png,_ o _ _ _,True,symbols_dovv^_question.png,30,True
119,consonants,mgttwx,,Times New Roman,40,0,0.5,consonants_mgttwx.png,m _ _ _ _ _,True,consonants_mgttwx_question.png,20,False
120,word,eliö,148.0,Comic Sans MS,30,15,0.5,word_eliö.png,_ _ i _,True,word_eliö_question.png,10,False
121,word,puida,77.0,Comic Sans MS,20,-15,0.5,word_puida.png,_ _ _ t _,False,word_puida_question.png,10,False
122,word,gongi,27.0,Comic Sans MS,40,-15,0.2,word_gongi.png,g _ _ _ _,True,word_gongi_question.png,10,False
123,consonants,bfkx,,Times New Roman,30,15,0.35,consonants_bfkx.png,_ _ _ w,False,consonants_bfkx_question.png,20,False
124,word,ylkä,6.0,Comic Sans MS,20,0,0.35,word_ylkä.png,_ _ k _,True,word_ylkä_question.png,10,True
125,word,itää,179.0,Comic Sans MS,30,15,0.5,word_itää.png,_ t _ _,True,word_itää_question.png,10,False
126,word,uuni,372.0,Impact,40,0,0.35,word_uuni.png,n _ _ _,False,word_uuni_question.png,10,False
127,word,riimu,70.0,Comic Sans MS,20,15,0.35,word_riimu.png,_ _ i _ _,True,word_riimu_question.png,10,False
128,symbols,^oddo,,DejaVu Sans,20,-15,0.2,symbols_^oddo.png,_ _ _ _ v,False,symbols_^oddo_question.png,30,False
129,word,luusto,86.0,Times New Roman,30,15,0.2,word_luusto.png,p _ _ _ _ _,False,word_luusto_question.png,10,False
130,word,tuohus,5.0,Comic Sans MS,20,0,0.2,word_tuohus.png,_ _ _ u _ _,False,word_tuohus_question.png,10,False
131,symbols,odvs^,,DejaVu Sans,20,15,0.35,symbols_odvs^.png,_ _ v _ _,True,symbols_odvs^_question.png,30,True
132,symbols,dssddd,,DejaVu Sans,40,-15,0.5,symbols_dssddd.png,_ _ _ _ ^ _,False,symbols_dssddd_question.png,30,False
133,consonants,bwdz,,Comic Sans MS,40,-15,0.2,consonants_bwdz.png,_ _ d _,True,consonants_bwdz_question.png,20,False
134,consonants,rrggj,,Impact,20,0,0.35,consonants_rrggj.png,_ _ b _ _,False,consonants_rrggj_question.png,20,False
135,consonants,gxqtx,,Impact,20,15,0.35,consonants_gxqtx.png,_ _ _ _ x,True,consonants_gxqtx_question.png,20,True
136,word,diodi,8.0,Times New Roman,40,15,0.35,word_diodi.png,_ _ o _ _,True,word_diodi_question.png,10,False
137,word,ilmi,3063.0,Impact,20,15,0.35,word_ilmi.png,_ _ _ i,True,word_ilmi_question.png,10,False
138,symbols,d^^do,,DejaVu Sans,20,0,0.35,symbols_d^^do.png,_ _ ^ _ _,True,symbols_d^^do_question.png,30,False
139,consonants,xpfpj,,Impact,30,0,0.35,consonants_xpfpj.png,_ p _ _ _,True,consonants_xpfpj_question.png,20,False
140,word,nieriä,5.0,Times New Roman,20,0,0.2,word_nieriä.png,_ i _ _ _ _,True,word_nieriä_question.png,10,False
141,word,sikhi,15.0,Comic Sans MS,30,0,0.2,word_sikhi.png,h _ _ _ _,False,word_sikhi_question.png,10,True
142,consonants,hqzll,,Times New Roman,40,15,0.5,consonants_hqzll.png,_ _ _ b _,False,consonants_hqzll_question.png,20,False
143,word,kolvi,10.0,Impact,30,0,0.35,word_kolvi.png,_ ü _ _ _,False,word_kolvi_question.png,10,False
144,consonants,kphwjz,,Comic Sans MS,30,-15,0.35,consonants_kphwjz.png,_ _ _ n _ _,False,consonants_kphwjz_question.png,20,False
145,symbols,vovso,,DejaVu Sans,30,15,0.5,symbols_vovso.png,v _ _ _ _,True,symbols_vovso_question.png,30,False
146,word,kihu,7.0,Impact,30,0,0.5,word_kihu.png,d _ _ _,False,word_kihu_question.png,10,False
147,word,emätin,57.0,Impact,30,15,0.5,word_emätin.png,c _ _ _ _ _,False,word_emätin_question.png,10,True
148,symbols,odo^,,DejaVu Sans,30,-15,0.35,symbols_odo^.png,d _ _ _,False,symbols_odo^_question.png,30,False
149,consonants,pmxwht,,Impact,20,15,0.35,consonants_pmxwht.png,p _ _ _ _ _,True,consonants_pmxwht_question.png,20,False
150,word,vaje,37.0,Times New Roman,40,15,0.5,word_vaje.png,_ a _ _,True,word_vaje_question.png,10,False
151,consonants,qwjvhz,,Comic Sans MS,30,0,0.2,consonants_qwjvhz.png,_ q _ _ _ _,False,consonants_qwjvhz_question.png,20,False
152,symbols,sdvsv,,DejaVu Sans,30,-15,0.2,symbols_sdvsv.png,_ d _ _ _,True,symbols_sdvsv_question.png,30,False
153,symbols,^^svd,,DejaVu Sans,30,-15,0.5,symbols_^^svd.png,_ _ s _ _,True,symbols_^^svd_question.png,30,False
154,word,solmio,761.0,Impact,40,-15,0.2,word_solmio.png,_ _ l _ _ _,True,word_solmio_question.png,10,False
155,word,suippo,26.0,Times New Roman,40,-15,0.35,word_suippo.png,_ _ _ p _ _,True,word_suippo_question.png,10,True
156,symbols,doosv,,DejaVu Sans,40,0,0.2,symbols_doosv.png,_ _ ^ _ _,False,symbols_doosv_question.png,30,False
157,symbols,^ss^,,DejaVu Sans,30,15,0.5,symbols_^ss^.png,_ o _ _,False,symbols_^ss^_question.png,30,False
158,word,piip,264.0,Comic Sans MS,30,15,0.2,word_piip.png,_ i _ _,True,word_piip_question.png,10,False
159,word,motata,156.0,Times New Roman,30,15,0.5,word_motata.png,x _ _ _ _ _,False,word_motata_question.png,10,False
160,symbols,voov^v,,DejaVu Sans,40,-15,0.5,symbols_voov^v.png,_ _ _ _ ^ _,True,symbols_voov^v_question.png,30,True
161,consonants,dfdzj,,Impact,40,0,0.35,consonants_dfdzj.png,_ _ _ _ j,True,consonants_dfdzj_question.png,20,False
162,symbols,^^^os,,DejaVu Sans,20,15,0.5,symbols_^^^os.png,_ ^ _ _ _,True,symbols_^^^os_question.png,30,False
163,consonants,jqdsmj,,Times New Roman,40,-15,0.2,consonants_jqdsmj.png,_ _ _ _ n _,False,consonants_jqdsmj_question.png,20,False
164,word,ilkiö,29.0,Times New Roman,30,0,0.2,word_ilkiö.png,_ _ _ _ ö,True,word_ilkiö_question.png,10,False
165,symbols,oo^v,,DejaVu Sans,30,-15,0.2,symbols_oo^v.png,o _ _ _,True,symbols_oo^v_question.png,30,False
166,symbols,d^oood,,DejaVu Sans,20,0,0.5,symbols_d^oood.png,d _ _ _ _ _,True,symbols_d^oood_question.png,30,False
167,consonants,tvzdg,,Impact,30,-15,0.5,consonants_tvzdg.png,_ _ _ d _,True,consonants_tvzdg_question.png,20,True
168,word,ähky,19.0,Impact,40,-15,0.2,word_ähky.png,_ d _ _,False,word_ähky_question.png,10,False
169,word,lakea,42.0,Times New Roman,30,15,0.5,word_lakea.png,_ _ _ e _,True,word_lakea_question.png,10,False
170,symbols,ovdvd,,DejaVu Sans,20,15,0.2,symbols_ovdvd.png,_ _ _ _ s,False,symbols_ovdvd_question.png,30,True
171,word,kolhia,32.0,Times New Roman,20,15,0.5,word_kolhia.png,_ _ _ _ _ i,False,word_kolhia_question.png,10,False
172,consonants,lgtjb,,Times New Roman,20,-15,0.2,consonants_lgtjb.png,_ _ _ _ b,True,consonants_lgtjb_question.png,20,False
173,word,yöpyä,875.0,Times New Roman,40,-15,0.2,word_yöpyä.png,y _ _ _ _,True,word_yöpyä_question.png,10,False
174,word,jäte,91.0,Comic Sans MS,30,0,0.35,word_jäte.png,_ ä _ _,True,word_jäte_question.png,10,False
175,consonants,dvqdj,,Comic Sans MS,40,15,0.5,consonants_dvqdj.png,_ _ _ _ j,True,consonants_dvqdj_question.png,20,False
176,word,kuje,36.0,Times New Roman,20,-15,0.2,word_kuje.png,_ _ z _,False,word_kuje_question.png,10,False
177,symbols,oosvsd,,DejaVu Sans,40,-15,0.35,symbols_oosvsd.png,_ v _ _ _ _,False,symbols_oosvsd_question.png,30,True
